eeg_se__C3,eeg_hm__C3,eeg_hm__Oz,eeg_hc__Cz,eeg_mf_hz__C3,eeg_bp_delta__C3,eeg_se_delta__C3,eeg_se_theta__Cz,eeg_se_alpha__C4,eeg_se_beta__Oz
4.4813207062620375,0.3475375546777471,0.2123753603702273,2.1671588397015737,6.0,2.0463549380913504,1.9733925464500364,1.8582379833765477,2.259154574396809,3.5307908104453043
3.570410518116419,0.2431295473187754,0.2432832588867893,2.5139071941806157,3.0,15.274653460297124,1.7145848498970275,2.1369206642183065,2.2815451783058083,3.758403671337667
4.562270671452155,0.3626731256196965,0.2749444357234268,1.8469919676586937,13.0,1.4854009752630604,1.8641189689966629,2.288115735258866,1.8577970890451283,3.860316914769237
4.452827423718221,0.330829766381605,0.3041838639476412,1.8086401060964823,10.0,2.8615834293652105,1.5792124668177676,2.0603766627351527,2.2631781158970723,3.971730595148274
4.468192639566807,0.3085609875550683,0.2664755951142878,1.893528300670519,8.0,3.058789842373643,1.9694485411745783,2.2380068404766664,2.149642795215738,3.526889194303015
4.503874840031744,0.33193007811926,0.2462492581903979,1.9385904509701437,10.0,2.7988320319115982,1.6532625461273525,2.168800892325908,2.2870830289459327,3.822619035077465
4.699480269223542,0.356441872501992,0.2921274479371731,2.0357624215005536,12.0,1.5556600947954196,1.7055803454230736,1.946794406750046,2.0450749719340733,3.7598673861316
4.482173185200875,0.3190696879385707,0.294357621889887,1.5625775531728388,9.0,3.5834210323093103,1.811441173953603,2.1802981632160106,1.9213179780158216,3.945797554121191
4.422791884126915,0.326545876385342,0.3254011261734093,1.6124602311388974,12.0,1.1308827389039346,1.9105472336535143,1.970750769400108,2.144062700110729,3.9311096203230367
4.328649807238922,0.2937338760909618,0.2937519914451971,1.977175323696409,10.0,5.053893324065953,1.695471609752594,2.0863072041291297,2.215165248694891,3.808641840785105
4.348849522199886,0.3276582738734033,0.2952272079034749,1.7303409843943227,10.0,1.129499176625966,1.8916657001332025,2.235496288411776,2.1488131954673766,3.69124198476551
4.545928046009059,0.321796796723426,0.2479445181140638,1.99199371335742,8.0,2.1340882090230804,1.7586737550881686,2.087284163556165,2.212461206566448,3.892646816790441
