participant,target,classifier,modality,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P02,valence,gnb,face,face_geometry,all_face,all,primary,10,1,all,5,93,74,19,29,64,0.5448717948717949,0.6842105263157895
P02,valence,gnb,face,face_geometry,all_face,all,primary,10,2,all,5,93,74,19,29,64,0.6282051282051282,0.7368421052631579
P02,valence,gnb,face,face_geometry,all_face,all,primary,10,3,all,5,93,74,19,29,64,0.5,0.6842105263157895
P02,valence,gnb,face,face_geometry,all_face,all,primary,10,4,all,5,93,75,18,29,64,0.46153846153846156,0.6666666666666666
P02,valence,gnb,face,face_geometry,all_face,all,primary,10,5,all,5,93,75,18,29,64,0.5833333333333334,0.6666666666666666
P02,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,84,67,17,25,59,0.6583333333333333,0.7647058823529411
P02,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,84,67,17,25,59,0.6916666666666667,0.6470588235294118
P02,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,84,67,17,25,59,0.5916666666666667,0.5882352941176471
P02,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,84,67,17,25,59,0.7166666666666667,0.7647058823529411
P02,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,84,68,16,25,59,0.6636363636363636,0.6875
P02,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,84,67,17,25,59,0.475,0.5882352941176471
P02,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,84,67,17,25,59,0.6333333333333333,0.6470588235294118
P02,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,84,67,17,25,59,0.475,0.5882352941176471
P02,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,84,67,17,25,59,0.575,0.6470588235294118
P02,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,84,68,16,25,59,0.5636363636363637,0.625
P02,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,84,67,17,25,59,0.7583333333333333,0.8235294117647058
P02,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,84,67,17,25,59,0.5916666666666667,0.5882352941176471
P02,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,84,67,17,25,59,0.575,0.6470588235294118
P02,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,84,67,17,25,59,0.6166666666666667,0.7058823529411765
P02,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,84,68,16,25,59,0.6090909090909091,0.6875
P02,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,84,67,17,25,59,0.675,0.7058823529411765
P02,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,84,67,17,25,59,0.5166666666666667,0.6470588235294118
P02,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,84,67,17,25,59,0.475,0.5882352941176471
P02,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,84,67,17,25,59,0.5916666666666667,0.5882352941176471
