participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,modality
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,4,8,5,112,90,22,45,67,0.6452991452991452,0.6818181818181818,eeg
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,5,8,5,112,90,22,45,67,0.5512820512820513,0.5909090909090909,eeg
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,1,8,5,112,89,23,45,67,0.4206349206349206,0.391304347826087,eeg
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,2,8,5,112,89,23,45,67,0.5,0.6086956521739131,eeg
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,3,8,5,112,90,22,45,67,0.4743589743589743,0.5,eeg
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,4,8,5,112,90,22,45,67,0.5854700854700855,0.5909090909090909,eeg
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,5,8,5,112,90,22,45,67,0.5341880341880342,0.5909090909090909,eeg
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,1,8,5,112,89,23,45,67,0.4563492063492064,0.4347826086956521,eeg
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,2,8,5,112,89,23,45,67,0.4682539682539682,0.5217391304347826,eeg
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,3,8,5,112,90,22,45,67,0.3247863247863247,0.3636363636363636,eeg
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,4,8,5,112,90,22,45,67,0.4615384615384615,0.5454545454545454,eeg
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,5,8,5,112,90,22,45,67,0.6282051282051282,0.6818181818181818,eeg
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,1,10,5,112,89,23,45,67,0.4206349206349206,0.391304347826087,eeg
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,2,10,5,112,89,23,45,67,0.4325396825396825,0.4782608695652174,eeg
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,3,10,5,112,90,22,45,67,0.5299145299145299,0.5454545454545454,eeg
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,4,10,5,112,90,22,45,67,0.6837606837606838,0.7272727272727273,eeg
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,5,10,5,112,90,22,45,67,0.5897435897435898,0.6363636363636364,eeg
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,1,10,5,112,89,23,45,67,0.4404761904761904,0.391304347826087,eeg
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,2,10,5,112,89,23,45,67,0.5,0.6086956521739131,eeg
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,3,10,5,112,90,22,45,67,0.4188034188034188,0.4545454545454545,eeg
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,4,10,5,112,90,22,45,67,0.5726495726495726,0.6363636363636364,eeg
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,5,10,5,112,90,22,45,67,0.5683760683760684,0.5909090909090909,eeg
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,1,10,5,112,89,23,45,67,0.4206349206349206,0.391304347826087,eeg
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,2,10,5,112,89,23,45,67,0.5238095238095238,0.5652173913043478,eeg
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,3,10,5,112,90,22,45,67,0.4017094017094017,0.4545454545454545,eeg
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,4,10,5,112,90,22,45,67,0.4615384615384615,0.5454545454545454,eeg
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,5,10,5,112,90,22,45,67,0.5897435897435898,0.6363636363636364,eeg
P01,arousal,logreg,paper_compact,frontal_central,8,secondary,32,1,8,5,112,89,23,45,67,0.4206349206349206,0.391304347826087,eeg
P01,arousal,logreg,paper_compact,frontal_central,8,secondary,32,2,8,5,112,89,23,45,67,0.5952380952380952,0.6521739130434783,eeg
P01,arousal,logreg,paper_compact,frontal_central,8,secondary,32,3,8,5,112,90,22,45,67,0.4358974358974359,0.4545454545454545,eeg
